# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	26693
#@/user_id	fec832ee-97fb-4052-a286-c15cd5b4de4d
a 	啊	c=168 d=1.65468 t=26693
wo ma le 	我麻了	c=2 d=1 t=26619
wo mei 	我沒	c=0 d=0.100002 t=3694
wo mei ji cuo 	我沒記錯	c=1 d=0.1 t=10001
wo mei ji cuo de hua 	我沒記錯的話	c=1 d=1 t=10002
wo mei shuo 	我沒說	c=1 d=1 t=11401
wo mei tie mo 	我沒貼膜	c=1 d=1 t=1494
wo men 	我們	c=23 d=1.02359 t=26559
wo men zhe li 	我們這裏	c=1 d=1 t=23012
wo mi huo le 	我迷惑了	c=1 d=1 t=3969
wo ming tian 	我明天	c=1 d=1 t=2603
wo na 	我拿	c=0 d=0.1 t=9373
wo na 	我那	c=1 d=1 t=1499
wo na de 	我拿的	c=1 d=1 t=9374
wo na shi hou 	我那時候	c=1 d=1 t=24465
wo ni ma 	我尼瑪	c=1 d=1 t=17267
wo pa 	我怕	c=2 d=1.93707 t=25365
wo qian liang tian 	我前兩天	c=1 d=1 t=16161
wo qiao 	我敲	c=1 d=1 t=5279
wo qu 	我去	c=4 d=1 t=26674
wo ri 	我日	c=6 d=1 t=16992
wo shang ci 	我上次	c=5 d=1 t=22959
wo shang mian 	我上面	c=1 d=1 t=12092
wo shang wu 	我上午	c=1 d=1 t=22595
wo shao qian 	我燒錢	c=1 d=1 t=10810
wo shi 	我是	c=20 d=1.01806 t=25783
wo shi jue de 	我是覺得	c=2 d=1 t=7280
wo shi sha 	我是啥	c=1 d=1 t=6329
wo shi shuo 	我是說	c=5 d=1 t=26379
wo shi xiang 	我是想	c=1 d=1 t=19461
wo shi zai 	我實在	c=1 d=1 t=10168
wo shi zai 	我是在	c=0 d=0.1 t=11571
wo shi zai wen 	我是在問	c=1 d=1 t=11572
wo shi zhen de 	我是真的	c=1 d=1 t=25392
wo shou 	我受	c=0 d=0.1 t=26101
wo shou dao le 	我受到了	c=1 d=1 t=26102
wo shuo 	我說	c=3 d=0.1 t=19571
wo shuo de 	我說的	c=1 d=1 t=11404
wo tao yan 	我討厭	c=1 d=1 t=25757
wo ting shuo 	我聽說	c=2 d=1 t=24627
wo tou le 	我投了	c=1 d=1 t=24646
wo tu ran 	我突然	c=1 d=1 t=16499
wo wan quan 	我完全	c=1 d=1 t=8756
wo wan you xi 	我玩遊戲	c=1 d=1 t=24889
wo wang le 	我忘了	c=3 d=1 t=24073
wo wei le 	我爲了	c=2 d=1 t=25510
wo wei shen me 	我爲什麼	c=1 d=1 t=582
wo wen wen 	我問問	c=1 d=1 t=2607
wo xia 	我下	c=1 d=1 t=17668
wo xia wu 	我下午	c=1 d=1 t=1540
wo xian 	我先	c=1 d=1 t=2217
wo xian zai 	我現在	c=17 d=1.32482 t=26620
wo xiang 	我想	c=7 d=0.229925 t=26693
wo xiang le 	我想了	c=1 d=1 t=18763
wo xiao si 	我笑死	c=1 d=1 t=7144
wo xie guo le 	我寫過了	c=1 d=1 t=16483
wo xin 	我心	c=0 d=0.1 t=6847
wo xin dong le 	我心動了	c=1 d=1 t=6848
wo xu yao 	我需要	c=1 d=1 t=769
wo xuan ze 	我選擇	c=1 d=1 t=2438
wo yao 	我要	c=2 d=1.00149 t=5290
wo yao cun 	我要存	c=1 d=1 t=4449
wo ye 	我也	c=13 d=0.157544 t=26692
wo ye bu zhi dao 	我也不知道	c=1 d=1 t=17064
wo ye hao jiu 	我也好久	c=1 d=1 t=8240
wo ye hao lei 	我也好累	c=1 d=1 t=26693
wo ye lai 	我也來	c=1 d=1 t=12129
wo ye lei 	我也累	c=1 d=1 t=5545
wo ye mei 	我也沒	c=1 d=1 t=3908
wo ye shi 	我也是	c=1 d=1 t=23431
wo ye xiang 	我也想	c=2 d=1 t=24895
wo ye xiang huan 	我也想換	c=1 d=1 t=2238
wo ye xiang yao 	我也想要	c=1 d=1 t=26104
wo ye yao 	我也要	c=1 d=1 t=16144
wo ye zai 	我也在	c=1 d=1 t=4552
wo ye zai xiang 	我也在想	c=1 d=1 t=10174
wo yi jing 	我已經	c=2 d=1.00243 t=23833
wo yi kai shi 	我一開始	c=2 d=1.00857 t=3027
wo yi qian 	我以前	c=3 d=1.00017 t=3657
wo yi wei 	我以爲	c=8 d=1.0513 t=26096
wo yi wei wo 	我以爲我	c=1 d=1 t=1834
wo yi zhi 	我一直	c=2 d=1 t=9433
wo yi zhi yi wei 	我一直以爲	c=2 d=1 t=23582
wo ying gai shi 	我應該是	c=1 d=1 t=17082
wo yong 	我用	c=3 d=1 t=9512
wo yong de 	我用的	c=5 d=1 t=16449
wo yong guo 	我用過	c=1 d=1 t=23975
wo yong le 	我用了	c=1 d=1 t=623
wo you 	我又	c=1 d=1 t=9646
wo you 	我有	c=2 d=1.00026 t=9507
wo you dian 	我有點	c=2 d=1 t=22391
wo yuan lai 	我原來	c=2 d=1.00937 t=23280
wo zai 	我在	c=25 d=1.00029 t=26451
wo zai jia 	我在家	c=1 d=1 t=9598
wo zai xiang 	我在想	c=1 d=1 t=22354
wo zen me 	我怎麼	c=4 d=1.03035 t=12656
wo zhao bu dao 	我找不到	c=1 d=1 t=5969
wo zhao ge ren 	我找個人	c=1 d=1 t=2613
wo zhe 	我這	c=5 d=1 t=23361
wo zhe bu shi 	我這不是	c=1 d=1 t=6932
wo zhe jie 	我這屆	c=1 d=1 t=24642
wo zhe li 	我這裏	c=5 d=1.64082 t=19847
wo zhen de 	我真的	c=3 d=1 t=26482
wo zheng ge 	我整個	c=2 d=1.00275 t=5654
wo zheng zai 	我正在	c=1 d=1 t=18984
wo zhi 	我只	c=0 d=0.1 t=11035
wo zhi dao 	我知道	c=3 d=1 t=17110
wo zhi dao le 	我知道了	c=1 d=1 t=12088
wo zhi jie 	我直接	c=1 d=1 t=3979
wo zhi neng 	我只能	c=3 d=1 t=23448
wo zhi qian 	我之前	c=15 d=1.04328 t=22902
wo zhi shi 	我只是	c=2 d=1.90484 t=1569
wo zhi xu yao 	我只需要	c=1 d=1 t=11036
wo zhi zhi dao 	我只知道	c=1 d=1 t=6800
wo zhu yao shi 	我主要是	c=1 d=1 t=2575
wo zhuang le 	我裝了	c=1 d=1 t=9504
wo zi 	我字	c=1 d=1 t=3219
wo zi ji 	我自己	c=1 d=1 t=7594
wo zong 	我總	c=0 d=0.1 t=17484
wo zong gan jue 	我總感覺	c=1 d=1 t=19022
wo zong ji de 	我總記得	c=1 d=1 t=17485
wo zu 	我組	c=1 d=1 t=843
wo zuo tian 	我昨天	c=1 d=1 t=5603
wo zuo wan 	我昨晚	c=1 d=1 t=4280
wu 	五	c=1 d=1 t=26118
wu 	屋	c=1 d=1 t=22653
wu 	無	c=9 d=1.02567 t=24393
wu 	物	c=0 d=0.198511 t=7780
wu an 	午安	c=4 d=0.153961 t=7516
wu bi 	五筆	c=1 d=1 t=23133
wu bi 	務必	c=6 d=1 t=23958
wu can 	午餐	c=0 d=0.1 t=18282
wu can rou 	午餐肉	c=1 d=1 t=18283
wu chan jie ji 	無產階級	c=3 d=1 t=19889
wu chao neng li 	無超能力	c=1 d=1 t=24122
wu chong 	無銃	c=1 d=1 t=25827
wu dao 	舞蹈	c=0 d=0.1 t=5698
wu dao fang mian 	舞蹈方面	c=1 d=1 t=5699
wu fa 	無法	c=28 d=8.47963 t=26582
wu fa jie xi 	無法解析	c=1 d=1 t=12814
wu fa shi yong 	無法使用	c=1 d=1 t=12969
wu fan 	午飯	c=1 d=1 t=7928
wu jian 	物件	c=4 d=3.8019 t=9958
wu ke 	無刻	c=1 d=1 t=16283
wu ke lan 	烏克蘭	c=2 d=1.99501 t=18219
wu lang 	五郎	c=2 d=1.99501 t=24383
wu le 	無了	c=4 d=1.1028 t=23969
wu lun 	無論	c=1 d=1 t=10912
wu nai 	無奈	c=1 d=1 t=8343
wu nian 	五年	c=0 d=0.1 t=15858
wu nian gui hua 	五年規劃	c=1 d=1 t=15859
wu niang 	舞娘	c=1 d=1 t=1349
wu qi 	武器	c=2 d=1 t=22331
wu qian qu 	無前驅	c=1 d=1 t=4950
wu qing 	無情	c=1 d=1 t=1551
wu qing de 	無情的	c=1 d=1 t=1571
wu qiong 	無窮	c=2 d=1 t=12491
wu ran 	污染	c=2 d=1.72615 t=22526
wu ren ji 	無人機	c=1 d=1 t=16993
wu se 	無色	c=1 d=1 t=8483
wu seng 	武僧	c=2 d=1 t=22358
wu shi 	武士	c=1 d=1 t=22301
wu shi 	無視	c=1 d=1 t=19175
wu suo wei 	無所謂	c=2 d=1 t=13343
wu suo wei ju 	無所畏懼	c=1 d=1 t=6265
wu tai 	舞臺	c=1 d=1 t=21535
wu tiao jian 	無條件	c=3 d=1 t=19432
wu tou 	無頭	c=2 d=1.00004 t=16961
wu wang 	吾王	c=1 d=1 t=2689
wu wei 	五位	c=0 d=0.1 t=15652
wu wei yi ti 	五位一體	c=1 d=1 t=15653
wu wu 	嗚嗚	c=6 d=1.00002 t=24489
wu wu wu 	嗚嗚嗚	c=2 d=1 t=11321
wu xian 	無線	c=5 d=0.852626 t=26693
wu xian 	無限	c=4 d=1 t=24906
wu xian chong 	無線充	c=2 d=1.89583 t=26332
wu xian wan 	無線玩	c=1 d=1 t=16740
wu xian zhi 	無限制	c=1 d=1 t=16722
wu xiang 	五項	c=0 d=0.1 t=14352
wu xiang xie yi 	五項協議	c=1 d=1 t=14353
wu xiao 	無效	c=0 d=0.1 t=11990
wu xiao le 	無效了	c=1 d=1 t=11991
wu yan xia 	屋檐下	c=0 d=0.1 t=3393
wu ye 	五夜	c=3 d=2.83712 t=25544
wu yu 	無語	c=1 d=1 t=3404
wu yu 	物語	c=2 d=1 t=17701
wu yu sheng 	吳玉生	c=3 d=2.7388 t=19820
wu zhen gan 	無震感	c=1 d=1 t=10333
wu zhi 	物質	c=8 d=1.97545 t=23079
wu zhi ji chu 	物質基礎	c=3 d=1.915 t=20966
wu zhong 	五種	c=1 d=1 t=21719
wu zhong 	物種	c=1 d=1 t=21717
wu zhong quan hui 	五中全會	c=2 d=1 t=20860
wu zhuang 	武裝	c=0 d=0.176338 t=13961
wu zhuang fan kang 	武裝反抗	c=1 d=1 t=13908
wu zhuang ji tuan 	武裝集團	c=2 d=1 t=19886
xi 	兮	c=1 d=1 t=9278
xi 	吸	c=2 d=1.99005 t=12353
xi 	喜	c=2 d=1.97045 t=5188
xi 	希	c=0 d=0.1 t=8805
xi 	洗	c=1 d=0.1 t=7278
xi 	系	c=1 d=1.02049 t=2456
xi 	細	c=2 d=1 t=20228
xi 	西	c=1 d=1 t=17249
xi an 	西安	c=1 d=1 t=20713
xi ao 	西奧	c=1 d=1 t=4044
xi ban ya 	西班牙	c=2 d=1.98511 t=18317
xi bao 	細胞	c=2 d=1.97531 t=17748
xi bu guo lai 	洗不過來	c=1 d=1 t=7279
xi cheng 	戲稱	c=1 d=1 t=8662
xi ge zao 	洗個澡	c=1 d=1 t=26167
xi gua 	西瓜	c=1 d=1 t=11481
xi guan 	習慣	c=1 d=1 t=11071
xi huan 	喜歡	c=4 d=1 t=8752
xi jin ping 	習近平	c=2 d=1 t=15947
xi la 	希臘	c=1 d=1 t=2852
xi la zi mu 	希臘字母	c=2 d=1 t=7954
xi le 	洗了	c=1 d=1 t=24996
xi lie 	系列	c=3 d=1 t=18536
xi ling 	希靈	c=1 d=1 t=8824
xi ling di guo 	希靈帝國	c=2 d=1.99005 t=8808
xi man 	洗滿	c=2 d=1 t=25006
xi ming 	繫命	c=0 d=0.1 t=12250
xi nan 	西南	c=0 d=0.1 t=5992
xi nan hang kong gang 	西南航空港	c=1 d=1 t=5993
xi pai 	洗牌	c=1 d=1 t=10793
xi ping 	息屏	c=1 d=1 t=1404
xi sheng 	犧牲	c=0 d=0.1 t=21894
xi shi 	西式	c=1 d=1 t=21041
xi shu 	係數	c=1 d=0.18452 t=26693
xi shu 	稀疏	c=0 d=0.0188247 t=26693
xi shu tu 	稀疏圖	c=3 d=0.930008 t=26693
xi shuo 	細說	c=1 d=1 t=7240
xi su 	習俗	c=1 d=1 t=5759
xi suo 	細鎖	c=1 d=1 t=1857
xi tong 	系統	c=16 d=3.97909 t=26642
xi tong de 	系統地	c=2 d=1.88692 t=21947
xi tong gong cheng 	系統工程	c=1 d=1 t=20463
xi tong she zhi 	系統設置	c=1 d=1 t=23300
xi tong xing 	系統性	c=1 d=1 t=20471
xi wang 	希望	c=2 d=1 t=19241
xi wang huang 	希望皇	c=1 d=1 t=6496
xi wei 	洗胃	c=2 d=1.98511 t=24201
xi wen le jian 	喜聞樂見	c=1 d=1 t=20609
xi xia 	洗下	c=1 d=1 t=10737
xi you 	稀有	c=0 d=0.1 t=9589
xi you du 	稀有度	c=1 d=1 t=9590
xi zi 	西子	c=0 d=0.1 t=2827
xia 	下	c=17 d=0.1 t=24467
xia ban shen 	下半身	c=1 d=1 t=7855
xia bu liao 	下不了	c=1 d=1 t=1767
xia chang 	下場	c=1 d=1 t=6229
xia ci 	下次	c=1 d=1 t=20774
xia ci le 	下次了	c=1 d=1 t=4162
xia dan 	下單	c=1 d=1 t=1535
xia dao 	嚇到	c=0 d=0.1 t=24745
xia dao wo le 	嚇到我了	c=1 d=1 t=24746
xia de 	下的	c=2 d=1 t=10770
xia de qu 	下得去	c=2 d=1 t=23612
xia fang 	下防	c=2 d=1.93707 t=2763
xia ge yue 	下個月	c=1 d=1 t=3473
xia gu 	峽谷	c=0 d=0.1 t=12180
xia jiang 	下降	c=0 d=0.1 t=25847
xia ke 	下課	c=1 d=1 t=2216
xia lai 	下來	c=1 d=1 t=11054
xia lai le 	下來了	c=1 d=1 t=20843
xia ling ying 	夏令營	c=1 d=1 t=6990
xia mian 	下面	c=5 d=1 t=22491
xia mian nian 	下面年	c=1 d=1 t=970
xia qu 	下去	c=1 d=1 t=10124
xia shou 	下手	c=1 d=1 t=2085
xia shui dao 	下水道	c=6 d=1 t=18888
xia shui dao le 	下水道了	c=1 d=1 t=775
xia tian 	夏天	c=0 d=0.1 t=19534
xia wei 	下位	c=1 d=1 t=22798
xia wu 	下午	c=3 d=1 t=13739
xia xia 	夏夏	c=1 d=1 t=22834
xia xun 	下旬	c=1 d=1 t=13940
xia yi 	下一	c=0 d=0.1 t=17290
xia yi ci 	下一次	c=1 d=1 t=10721
xia yi ge 	下一個	c=1 d=1 t=10395
xia yi ji 	下一季	c=1 d=1 t=17291
xia yi qi 	下一期	c=1 d=1 t=17220
xia yi shi 	下意識	c=1 d=1 t=7869
xia you xi 	下遊戲	c=1 d=1 t=24468
xia zai 	下載	c=5 d=1 t=26181
xia zai qi 	下再起	c=1 d=1 t=19829
xia zai qi 	下載器	c=1 d=1 t=19830
xia zhou 	下週	c=1 d=0.444858 t=26693
xian 	先	c=15 d=1.00036 t=24932
xian 	線	c=7 d=2.84167 t=23557
xian 	限	c=2 d=0.1 t=20489
xian 	顯	c=0 d=0.1 t=10817
xian ba 	先把	c=1 d=1 t=23332
xian chang 	現場	c=1 d=1 t=17054
xian dai 	現代	c=2 d=1 t=10241
xian dai 	線代	c=3 d=1.98545 t=26153
xian dai hua 	現代化	c=16 d=1.75635 t=22010
xian de 	閒得	c=0 d=0.1 t=11280
xian de mei shi 	閒得沒事	c=1 d=1 t=11281
xian fa 	憲法	c=2 d=0.100208 t=16076
xian feng 	先鋒	c=0 d=0.1 t=26024
xian gong 	先攻	c=6 d=4.5154 t=13547
xian guo 	鮮果	c=0 d=0.1 t=4871
xian jin 	先進	c=1 d=1 t=15431
xian jin 	現金	c=1 d=1 t=18357
xian jing 	陷阱	c=2 d=0.101738 t=21052
xian ka 	顯卡	c=1 d=1 t=5439
xian kai 	掀開	c=1 d=1 t=22126
xian kai 	現開	c=5 d=1 t=22125
xian ming 	鮮明	c=0 d=0.103858 t=20898
xian ming zhu ti 	鮮明主題	c=1 d=1 t=20248
xian qi 	嫌棄	c=1 d=1 t=13309
xian ren 	仙人	c=0 d=0.1 t=20745
xian ren cai 	仙人彩	c=2 d=1.67706 t=20824
xian shang 	線上	c=6 d=1.19327 t=23214
xian shi 	現實	c=0 d=0.1 t=20161
xian shi 	顯示	c=8 d=1.08683 t=24703
xian shi bu chu lai le 	顯示不出來了	c=1 d=1 t=24672
xian shi chu 	顯示出	c=1 d=1 t=5696
xian shi cuo wu 	顯示錯誤	c=1 d=1 t=7614
xian shi qi 	顯示器	c=4 d=3.72314 t=9102
xian shi yi ju 	現實依據	c=1 d=1 t=20162
xian shi zhong 	現實中	c=1 d=1 t=2045
xian shua guang 	先刷光	c=1 d=1 t=7261
xian suo 	線索	c=1 d=1 t=4182
xian tui 	現推	c=1 d=1 t=26139
xian wu 	現物	c=2 d=1.95123 t=25943
xian xia 	線下	c=4 d=1.67368 t=23253
xian xing 	先行	c=0 d=0.1 t=26277
xian xing 	線性	c=1 d=1.01526 t=5005
xian xing biao 	線性表	c=2 d=1.10018 t=5469
xian xing ci 	先行詞	c=2 d=1.93707 t=26291
xian xu bian li 	先序遍歷	c=1 d=1 t=4728
xian yong 	先用	c=1 d=1 t=4300
xian yu 	閒魚	c=2 d=0.203926 t=26693
xian zai 	先在	c=1 d=1 t=12424
xian zai 	現在	c=67 d=1.32016 t=26693
xian zai you de 	現在有的	c=1 d=1 t=23333
xian zhe 	賢者	c=1 d=1 t=26575
xian zhi 	限制	c=4 d=1 t=16733
xian zhu 	顯著	c=1 d=1 t=15718
xian zi 	仙子	c=1 d=1 t=22137
xiang 	像	c=5 d=1 t=25765
xiang 	向	c=6 d=1.16483 t=21494
xiang 	巷	c=0 d=0.1 t=13618
xiang 	想	c=25 d=0.214381 t=26693
xiang 	象	c=0 d=0.1 t=14908
xiang 	香	c=1 d=1 t=25398
xiang bi 	想必	c=1 d=1 t=2666
xiang chi 	想喫	c=2 d=1.099 t=17916
xiang chi le 	想喫了	c=1 d=1 t=17915
xiang cun 	鄉村	c=2 d=1.92774 t=14406
xiang da 	想打	c=1 d=1 t=1505
xiang dang yu 	相當於	c=4 d=1.14661 t=25363
xiang dao 	想到	c=0 d=0.1 t=16584
xiang deng 	相等	c=1 d=1 t=5462
xiang dui 	相對	c=3 d=0.431214 t=12412
xiang dui lu jing 	相對路徑	c=2 d=1.91851 t=12430
xiang dui zhu yi 	相對主義	c=3 d=2.76059 t=9914
xiang fa 	想法	c=1 d=1.0049 t=3631
xiang fa shi 	想法是	c=1 d=1 t=3029
xiang gang 	香港	c=5 d=1.00017 t=22544
xiang gang de 	香港的	c=1 d=1 t=20674
xiang gong 	相公	c=1 d=1 t=1333
xiang guan 	相關	c=3 d=1 t=11637
xiang guo 	想過	c=1 d=1 t=16401
xiang hu 	相互	c=1 d=1 t=15673
xiang huan le 	想換了	c=1 d=1 t=17603
xiang jiao 	香蕉	c=1 d=1 t=24246
xiang jie he 	相結合	c=6 d=1.08402 t=21193
xiang kai dian 	想開點	c=2 d=1.62189 t=18299
xiang lian 	項鍊	c=2 d=1 t=24993
xiang mai 	想買	c=0 d=0.0355226 t=26693
xiang mu 	項目	c=3 d=1 t=12404
xiang mu ma 	項目嗎	c=1 d=1 t=5927
xiang qi 	想起	c=1 d=1 t=6836
xiang qi lai 	想起來	c=1 d=1 t=17476
xiang qi le 	想起了	c=2 d=1.84366 t=16500
xiang qian kan 	向前看	c=1 d=1 t=20235
xiang rang ta 	想讓他	c=1 d=1 t=3485
xiang ren min 	向人民	c=1 d=1 t=21111
xiang shang 	向上	c=1 d=1 t=12735
xiang shi 	像是	c=2 d=1 t=24954
xiang si 	想死	c=1 d=1 t=9406
xiang su 	像素	c=3 d=2.9605 t=18583
xiang tong 	相同	c=2 d=1 t=11821
xiang tong le 	想通了	c=1 d=1 t=11239
xiang wan 	想玩	c=1 d=1 t=2541
xiang wen 	想問	c=0 d=0.1 t=22595
xiang xiang 	香香	c=0 d=0.1 t=2969
xiang xiang de 	香香的	c=1 d=1 t=2970
xiang xie 	想寫	c=0 d=0.1 t=22783
xiang xin 	相信	c=1 d=1 t=19360
xiang ying 	響應	c=1 d=1 t=6651
xiang zhe 	想着	c=2 d=1 t=19326
xiang zhu 	香豬	c=0 d=0.1 t=24377
xiang zi 	箱子	c=3 d=2.96959 t=486
xiang zu 	想組	c=1 d=1 t=11431
xiao 	小	c=10 d=0.985112 t=26693
xiao 	校	c=1 d=0.1 t=22338
xiao 	笑	c=3 d=1 t=25979
xiao 	肖	c=11 d=1.03907 t=25973
xiao bai 	小白	c=7 d=1.90485 t=9389
xiao cheng xu 	小程序	c=5 d=1 t=22209
xiao dao 	小刀	c=1 d=1 t=22131
xiao dong wu 	小動物	c=2 d=1 t=19234
xiao dui 	校隊	c=2 d=1.92312 t=16824
xiao fo 	小佛	c=1 d=1 t=22832
xiao gai 	小改	c=1 d=1 t=3809
xiao gong zhu 	小公主	c=1 d=1 t=26432
xiao guang gao 	小廣告	c=1 d=1 t=13251
xiao gui 	小鬼	c=1 d=1 t=22310
xiao guo 	效果	c=20 d=1.00525 t=13029
xiao guo 	笑過	c=0 d=0.1 t=5656
xiao guo shi 	效果是	c=1 d=1 t=8653
xiao hai 	小孩	c=1 d=1 t=7651
xiao hao 	小號	c=1 d=1 t=3547
xiao hao 	消耗	c=1 d=1 t=460
xiao hao 	銷號	c=1 d=1 t=21572
xiao hua 	笑話	c=2 d=1.54607 t=16502
xiao huang 	小黃	c=0 d=0.1 t=1836
xiao huang ren 	小黃人	c=2 d=1 t=16797
xiao kang 	小康	c=1 d=1 t=21096
xiao kang she hui 	小康社會	c=12 d=3.91488 t=16035
xiao le 	笑了	c=2 d=1 t=19831
xiao lv 	效率	c=3 d=1 t=16946
xiao lv gao 	效率高	c=1 d=1 t=5764
xiao mi 	小米	c=1 d=0.1 t=10560
xiao mi la 	小米辣	c=3 d=2.90823 t=10577
xiao mie 	消滅	c=2 d=1 t=13837
xiao nei 	校內	c=3 d=1 t=26389
xiao ping 	小平	c=0 d=0.1 t=3113
xiao po 	小破	c=0 d=0.1 t=11294
xiao po ben 	小破本	c=1 d=1 t=11295
xiao qu 	校區	c=0 d=0.1 t=7006
xiao qun 	小羣	c=1 d=1 t=25376
xiao san 	小三	c=1 d=1 t=7458
xiao shi 	小事	c=2 d=1.00912 t=25588
xiao shi 	小時	c=1 d=1.00801 t=25615
xiao shi 	消失	c=1 d=1 t=7787
xiao shi hou 	小時候	c=1 d=1 t=12549
xiao shuang wen 	小爽文	c=1 d=1 t=12907
xiao shuo 	小說	c=6 d=1.72979 t=24894
xiao si 	笑死	c=18 d=2.09504 t=26693
xiao si 	肖四	c=1 d=1 t=19591
xiao tu 	小兔	c=1 d=1 t=13608
xiao wai 	校外	c=1 d=1 t=26297
xiao wang zhan 	小網站	c=1 d=1 t=2723
xiao xi 	消息	c=13 d=1.00181 t=24157
xiao xi ji lu 	消息記錄	c=1 d=1 t=19148
xiao xiang zhu 	小香豬	c=1 d=1 t=24378
xiao xin 	小心	c=7 d=1.00004 t=24818
xiao xing 	笑醒	c=2 d=0.331078 t=17420
xiao xiu rong 	肖秀榮	c=1 d=1 t=5953
xiao xue 	小學	c=5 d=3.05349 t=25311
xiao xue lao shi 	小學老師	c=1 d=1 t=25310
xiao xue sheng 	小學生	c=1 d=1 t=25141
xiao xue tang 	小學躺	c=1 d=1 t=25312
xiao yan 	小鹽	c=1 d=1 t=9275
xiao yao 	逍遙	c=2 d=1.9802 t=1273
xiao yi yuan 	校醫院	c=1 d=1 t=10459
xiao you xi 	小遊戲	c=2 d=1.00153 t=22130
xiao yu 	小於	c=1 d=0.794534 t=26693
xiao yuan 	校園	c=1 d=1 t=17769
xiao yuan wang 	校園網	c=1 d=1 t=12453
xiao zhao 	校招	c=1 d=1 t=18748
xiao zhu 	小珠	c=1 d=1 t=9260
xiao zhu shou 	小助手	c=1 d=0.1 t=26170
xiao zi chan 	小資產	c=1 d=1 t=13870
xiao zu 	小組	c=1 d=1 t=2192
xiao zuo wen 	小作文	c=5 d=4.74013 t=25504
xie 	些	c=1 d=1 t=20544
xie 	寫	c=15 d=0.449329 t=26693
xie 	屑	c=1 d=1 t=22961
xie cuo 	寫錯	c=1 d=1 t=24693
xie cuo le ba 	寫錯了吧	c=1 d=1 t=7950
xie de 	寫得	c=1 d=1 t=22870
xie de 	寫的	c=8 d=1 t=22277
xie guo 	寫過	c=0 d=0.1 t=16482
xie hao 	寫好	c=0 d=0.1 t=3639
xie hao de 	寫好的	c=1 d=1 t=3640
xie le 	寫了	c=2 d=1 t=22782
xie le ge 	寫了個	c=1 d=1 t=2090
xie lu 	邪路	c=1 d=1 t=15760
xie ru 	寫入	c=3 d=1.15922 t=15621
xie shang 	協商	c=2 d=1.51427 t=14467
xie shou 	攜手	c=1 d=1 t=6192
xie ti 	斜體	c=1 d=1 t=8551
xie tiao 	協調	c=3 d=1 t=21524
xie wan 	寫完	c=1 d=1 t=2183
xie xie 	寫寫	c=2 d=1 t=25275
xie xie 	謝謝	c=2 d=0.369723 t=26693
xie xie re 	謝謝惹	c=1 d=1 t=18739
xie xie shi shi 	寫寫試試	c=1 d=1 t=1498
xie xie xie xie 	謝謝謝謝	c=1 d=1 t=6049
xie yi 	協議	c=0 d=0.100108 t=14352
xie zai 	卸載	c=4 d=2.69391 t=13279
xie zai 	寫在	c=1 d=1 t=19556
xie zi 	寫字	c=1 d=1 t=25165
xie zi 	鞋子	c=1 d=1 t=25164
xin 	信	c=6 d=0.657047 t=26693
xin 	心	c=1 d=1 t=3397
xin 	新	c=26 d=0.0440432 t=26693
xin ben zi 	新本子	c=1 d=1 t=5310
xin bu xin 	信不信	c=1 d=1 t=24772
xin chu 	新出	c=0 d=0.1 t=18456
xin chu de 	新出的	c=1 d=1 t=18457
xin chuan 	薪傳	c=1 d=1 t=10786
xin chuang kou 	新窗口	c=1 d=1 t=11677
xin da 	信達	c=0 d=0.1 t=9711
xin da ya 	信達雅	c=2 d=1 t=25547
xin de 	新的	c=13 d=1 t=26562
xin dong 	心動	c=1 d=1.06805 t=16574
xin dong le 	心動了	c=2 d=1.71534 t=16565
xin dong xi 	新東西	c=1 d=1 t=6260
xin fa zhan 	新發展	c=5 d=1.00447 t=22175
xin fa zhan jie duan 	新發展階段	c=2 d=1.72615 t=20145
xin fan yi luan 	心煩意亂	c=0 d=0.1 t=5800
xin fan yi luan de 	心煩意亂地	c=1 d=1 t=5801
xin gong neng 	新功能	c=1 d=1 t=6080
xin hai 	辛亥	c=1 d=1 t=20351
xin hai ge ming 	辛亥革命	c=1 d=1 t=21680
xin huan 	新歡	c=1 d=1 t=7465
xin jian 	新建	c=1 d=1 t=13879
xin jie duan 	新階段	c=3 d=1 t=20161
xin ju mian 	新局面	c=1 d=1 t=14949
xin ka 	新卡	c=1 d=1 t=18591
xin li 	心裏	c=0 d=0.1 t=5802
xin li an xiang 	心裏暗想	c=1 d=1 t=5803
xin li yin ying 	心裏陰影	c=1 d=1 t=2146
xin min zhu zhu yi 	新民主主義	c=4 d=1.34646 t=21191
xin nian 	信念	c=1 d=1 t=21470
xin nian 	新年	c=1 d=1 t=18508
xin ren 	信任	c=2 d=1.98511 t=19433
xin ren 	新人	c=9 d=1.00002 t=25469
xin ruan 	信軟	c=1 d=1 t=7718
xin sheng 	新生	c=2 d=0.529935 t=26693
xin shi dai 	新時代	c=9 d=1.05833 t=22076
xin shi dai de 	新時代的	c=1 d=1 t=21380
xin shi dan dan 	信誓旦旦	c=1 d=1 t=24833
xin shou 	新手	c=13 d=0.1 t=23262
xin shou bao 	新手包	c=1 d=1 t=23263
xin shou jiao cheng 	新手教程	c=1 d=1 t=8404
xin shou ka zu 	新手卡組	c=2 d=1 t=6923
xin shou tao 	新手套	c=2 d=1.94649 t=23238
xin tai 	心態	c=1 d=1 t=25859
